time,user,wanna,count,res
2020-11-16 22:33:30.406947,username8,wanna scoop,184,фейл
2020-11-16 22:33:30.406947,username7,wanna scoop,154,фейл
2020-11-16 22:33:30.406947,username6,wanna scoop,42,фейл
2020-11-16 22:33:30.406947,username2,wanna top,48,успех
2020-11-16 22:33:30.406947,username8,wanna top,152,фейл
2020-11-16 22:33:30.406947,username1,wanna scoop,12,успех
2020-11-16 22:33:30.406947,username10,wanna top,100,успех
2020-11-16 22:33:30.406947,username4,wanna scoop,68,успех
2020-11-16 22:33:30.406947,username5,wanna scoop,5,успех
2020-11-16 22:33:30.406947,username7,wanna top,133,фейл
2020-11-16 22:33:30.406947,username6,wanna top,120,фейл
2020-11-16 22:33:30.406947,username2,wanna scoop,12,успех
2020-11-16 22:33:30.406947,username7,wanna scoop,105,фейл
2020-11-16 22:33:30.406947,username1,wanna scoop,3,успех
2020-11-16 22:33:30.406947,username3,wanna top,21,успех
2020-11-16 22:33:30.406947,username1,wanna top,5,успех
2020-11-16 22:33:30.406947,username8,wanna top,104,фейл
2020-11-16 22:33:30.406947,username5,wanna top,5,успех
2020-11-16 22:33:30.406947,username8,wanna top,96,фейл
2020-11-16 22:33:30.406947,username8,wanna top,160,фейл
2020-11-16 22:33:30.406947,username2,wanna scoop,44,успех
2020-11-16 22:33:30.406947,username9,wanna scoop,45,успех
2020-11-16 22:33:30.406947,username4,wanna scoop,12,успех
2020-11-16 22:33:30.406947,username3,wanna top,27,успех
2020-11-16 22:33:30.406947,username1,wanna scoop,16,успех
2020-11-16 22:33:30.407945,username7,wanna scoop,168,фейл
2020-11-16 22:33:30.407945,username2,wanna scoop,16,успех
2020-11-16 22:33:30.407945,username4,wanna scoop,72,фейл
2020-11-16 22:33:30.407945,username4,wanna top,52,успех
2020-11-16 22:33:30.407945,username9,wanna scoop,207,фейл
2020-11-16 22:33:30.407945,username1,wanna scoop,20,успех
2020-11-16 22:33:30.407945,username9,wanna scoop,45,фейл
2020-11-16 22:33:30.407945,username6,wanna top,6,успех
2020-11-16 22:33:30.407945,username7,wanna scoop,35,успех
2020-11-16 22:33:30.407945,username2,wanna scoop,24,фейл
2020-11-16 22:33:30.407945,username6,wanna scoop,66,фейл
2020-11-16 22:33:30.407945,username7,wanna top,168,успех
2020-11-16 22:33:30.407945,username5,wanna scoop,85,успех
2020-11-16 22:33:30.407945,username1,wanna top,2,успех
